date,mlbID,game_pk,event_id,name,opponent_name,line,bet_side,bet_edge,model_p_over,over_prob_fair,over_odds,under_odds,n_books,projected_strikeouts,reasoning,logged_at,closing_over_odds,closing_under_odds,actual_so,pnl,clv,result
2026-07-22,687562,824735,10ee5044193bffe8f24adf381ebde5ad,Jake Bennett,Baltimore Orioles,5.5,under,0.1713220440679242,0.3011989389948489,0.4725209830627732,-102.4,-129.8,2,4.5,"Web search access was unavailable in this session, so no beat-writer, injury-report, or Orioles-lineup coverage from the last few days could be verified; nothing material was found to contradict or support the stats-only inputs. Given that, I weight the underlying numbers as-is: the 0 days rest is unusual for a starter and typically signals a shortened/piggyback-type outing, which combined with the recent decline to 5.1 K/9 over the last three starts (versus 6.9 over 30 days) and a modest 4.7 innings/start workload, points to fewer strikeout opportunities tonight, not more. That aligns with, and slightly reinforces, the stats-only model's projection of 4.6 rather than supporting the market's 5.5 line, so I'm landing close to the model's number.",2026-07-22T18:08:51,,,4.0,0.7704160246533127,,under
2026-07-22,641778,823438,111a955795876d50988b15c219ce0796,Eric Lauer,Philadelphia Phillies,3.5,over,0.0603946843641947,0.575969249561991,0.5155745651977963,-122.0,-105.0,5,4.1,"Web search access was unavailable for this request (tool returned a server limit error on every attempt), so no beat-writer notes, injury updates, or confirmed Phillies lineup could be verified tonight -- I found nothing material to add. Absent that context, I lean on the stats-only model's 4.4 projection but shade it slightly down to 4.1 because the unusually long 16-day rest gap is itself a flag: that kind of layoff typically signals a return from an IL stint or a skipped turn, which often comes with a tighter pitch count/shorter leash and can suppress strikeout total even if per-inning rates hold, and it also means the trailing K/9 figures (4.5 over 3 starts, 3.8 over 30 days) are already somewhat stale relative to tonight's actual role. The 23.8% opponent K-rate vs. his handedness roughly matching his own season whiff rate suggests no strong platoon-based edge or red flag either way, so the market line of 3.5 still looks slightly beatable but with real downside risk if he's on a hook after the layoff.",2026-07-22T18:08:51,,,5.0,0.819672131147541,,over
2026-07-22,650633,824896,573a8d20a4ce1b6795f2e3ac8d30cae0,Michael King,Atlanta Braves,4.5,over,0.0943241098289968,0.5495563236936565,0.4552322138646597,106.0,-136.0,5,5.0,"My searches for recent Michael King and Braves lineup news were blocked by a tool-usage limit this turn, so I could not verify any fresh beat-writer reports, injury notes, or confirmed lineup changes for tonight. Absent any contradicting information, I'm deferring closely to the stats-only model: trailing K/9 marks of 6.9 (last 3 starts) and 7.3 (last 30 days), a healthy 25.3% season whiff rate, and 5 days rest all support a strikeout total modestly above the 4.5 market line. I shaved the projection slightly below the model's 5.1 to account for his trailing 5.7 innings/start, which caps total strikeout opportunities if he's on a similar pitch-count leash tonight, but with no material new negative information found, I still project him comfortably over the line.",2026-07-22T18:08:51,,,7.0,1.06,,over
2026-07-22,676106,823110,5d1eeebcccadcfc65a1ae65709da7845,Emerson Hancock,Cincinnati Reds,5.5,under,0.1808987919349982,0.3176096967987029,0.4985084887337011,-114.0,-114.0,4,4.6,"Search access was unavailable for this evaluation, so no fresh beat-writer, injury-report, or lineup-confirmation details could be verified beyond the provided stats. Taking the numbers at face value: a sub-5-inning workload (4.8 IP/start) caps his strikeout ceiling even with a solid 8.2 K/9, and a below-average 20.4% season whiff rate suggests the strikeout rate may be more contact-suppression/matchup-driven than swing-and-miss stuff. The unusually long 10-day rest is a flag worth monitoring for role/workload changes (e.g., a skipped turn or shortened pitch-count plan), which could further compress his innings tonight rather than boost his stuff. Absent contrary evidence, I'm sticking close to the model's 4.7 estimate, nudged slightly down to 4.6 given the extended rest as a mild caution on volume, and well under the 5.5 market line.",2026-07-22T18:08:51,,,3.0,0.8771929824561404,,under
2026-07-22,696149,823519,825819c6eb7f33c306b094f49bcd9bb0,Bubba Chandler,New York Yankees,4.5,over,0.058786973895806,0.6130373557986769,0.5542503819028709,-143.5,111.0,2,5.4,"I was unable to retrieve any usable search results this session (web_search calls repeatedly hit a tool-usage limit, including on Bubba Chandler's recent starts, injury status, and the Yankees' expected lineup), so I have no beat-writer, injury-report, or lineup-specific findings to weigh against the stats model. Absent that context, I lean on the underlying numbers: a 7.1-7.2 trailing K/9, a strong 30.1% season whiff rate, and a 23.4% opponent strikeout rate vs. his handedness all support a projection near the model's 5.7, but the unusual 11 days of rest (far longer than a normal turn) is a flag for potential rust, an extended IL stint, or reduced pitch-count/workload management that isn't captured in the trailing-5-innings-per-start figure, so I shade the projection down slightly to 5.4 rather than fully endorsing the model's 5.7.",2026-07-22T18:08:51,,,5.0,0.6968641114982579,,over
2026-07-22,656605,823518,8291188eca889695bdbc42aac91ad1e5,Mitch Keller,New York Yankees,5.5,under,0.3723729959071462,0.1248276610053649,0.4972006569125111,-114.1,-117.0,2,3.3,"Web search tools were unavailable/exhausted for this session, so I could not confirm specific beat-writer reports on Keller's health, velocity, or the Yankees' tonight lineup. Working from the stats alone, the 0 days rest figure is a major red flag inconsistent with a normal starter turn -- it strongly suggests either a data anomaly or that Keller is being used in a piggyback/opener-type role tonight, which would further cap pitch count beyond his already-short trailing 4.0 innings/start pace. Combined with his depressed recent K/9 (5.2 last three starts, 5.6 last 30 days) versus a modest 20.5% season whiff rate, the underlying trend supports the stats-only model's low projection rather than the market's 5.5 line, so I'm landing at essentially the same conservative estimate, nudged slightly below 3.5 given the rest-day anomaly implies even less workload than usual.",2026-07-22T18:08:51,,,6.0,-1.0,,over
2026-07-23,677976,824247,38d3052ec454022a14314b324e0ff5f3,Randy Dobnak,Detroit Tigers,3.5,under,0.0631880110199349,0.352676714351382,0.415864725371317,126.5,-165.0,6,3.0,"This is Dobnak's second big-league start of 2026 (first came July 18 vs. San Diego, when he needed 96 pitches to record just 13 outs), and his season strikeout rate sits at only 11.3% with a 12.9% walk rate and 5.60 xERA per a same-day betting preview -- a far cry from the 22.2% whiff rate and 24.5% opponent K-rate the stats model is leaning on. That preview also flags Detroit's lineup as having 'patient left-handed bats near the top,' a profile that historically suppresses strikeouts for contact-oriented sinkerballers like Dobnak, and notes the market itself is pricing his under 3.5 K at -140, implying books expect him to miss the trailing K/9 pace. Given his limited 2026 workload (just 9.2 MLB innings before this rotation stint) and Kansas City's incentive to manage his pitch count closely, I'm projecting slightly below both the market line and the model's 3.7 forecast.",2026-07-23T17:59:49,,,3.0,0.606060606060606,,under
2026-07-23,671737,824406,5c7e77b42c0db49ce882d3c9473d74c1,Taj Bradley,Cleveland Guardians,3.5,over,0.2531128582135209,0.8472087991729305,0.5940959409594095,-175.0,130.0,1,6.2,"Bradley has been excellent specifically against this Cleveland lineup, carrying a 1.54 ERA and 31 strikeouts across his last four starts against them this season, including back-to-back 10-strikeout, zero-walk gems in June/July where his cutter missed bats at an elite rate. His most recent start (7/18 vs. Cubs) was a step back -- 5 ER over 5 IP with only 6 K -- but he's on normal rest (last outing 7/18, today 7/23), not the 0-days-rest flagged in the model inputs, so fatigue/workload concerns look overstated. Cleveland's offense has also posted a below-average wOBA and elevated strikeout rate against right-handers recently, reinforcing rather than contradicting the model's favorable opponent-K-rate input, so I'm projecting modestly above the stats-only model's 5.3 given his strong track record and platoon trend against this specific opponent, well clear of the 3.5 line.",2026-07-23T17:59:49,,,5.0,0.5714285714285714,,over
2026-07-23,671737,824406,5c7e77b42c0db49ce882d3c9473d74c1,Taj Bradley,Cleveland Guardians,4.5,over,0.2791126176555814,0.7215904937617761,0.4424778761061947,110.0,-150.0,1,6.2,"Bradley has been excellent specifically against this Cleveland lineup, carrying a 1.54 ERA and 31 strikeouts across his last four starts against them this season, including back-to-back 10-strikeout, zero-walk gems in June/July where his cutter missed bats at an elite rate. His most recent start (7/18 vs. Cubs) was a step back -- 5 ER over 5 IP with only 6 K -- but he's on normal rest (last outing 7/18, today 7/23), not the 0-days-rest flagged in the model inputs, so fatigue/workload concerns look overstated. Cleveland's offense has also posted a below-average wOBA and elevated strikeout rate against right-handers recently, reinforcing rather than contradicting the model's favorable opponent-K-rate input, so I'm projecting modestly above the stats-only model's 5.3 given his strong track record and platoon trend against this specific opponent, well clear of the 3.5 line.",2026-07-23T17:59:49,,,5.0,1.1,,over
2026-07-24,663776,824733,7cb10d307b371751677d513fb168b3bd,Patrick Sandoval,Toronto Blue Jays,3.5,under,0.08468661445789893,0.5193425623396002,0.6040291767974991,-185.0,135.0,1,3.8,"Sandoval remains in a closely managed workload since returning from a 25-month layoff/internal-brace surgery -- his 2026 debut was capped at 65 pitches over 4.1 IP for 5 K, and Boston's staff explicitly said they weren't going to let him approach a '95-pitch outing' this early back, which caps upside on total strikeouts even with strong per-inning stuff. That workload caution is consistent with the model's 4.7 trailing IP/start input, so I don't see reason to push innings higher. On the Toronto side, StatMuse data shows the Blue Jays have been one of the toughest lineups in MLB to strike out against left-handers this season, with a strikeout rate near 17-18.6% vs lefties, and the expected lineup vs. a lefty (Clement, Guerrero, Okamoto, Springer, Kirk, Varsho) is contact-oriented at the top with Clement hitting .296. That contact profile roughly matches the model's 18.6% opponent K-rate input and argues against expecting an outlier strikeout total. Given the short-leash workload management plus a contact-heavy Toronto lineup vs LHP, I'd shade slightly below the model's 4.2 projection to about 3.8, still comfortably above the 3.5 market line but with less margin than the raw K/9 trend alone would suggest.",2026-07-24T12:24:04,,,,,,
